,title,chords,lyric,views,difficulty
10,Ambush In The Night,"{'Bm', 'E', 'Em', 'A7', 'D', 'A', 'G'}","D Bm G  A 
(Ooh-wee, ooh-wee, ooh-wa!) 
See them fighting for power (ooh-wee, ooh-wee, ooh-wa!), 
But they know not the hour (ooh-wee, ooh-wee, ooh-wa!),; 
So they bribing with their guns, spare-parts and money, 
D Bm  G
Trying to belittle our integrity now. 
 
Em A Em D 
They say what we know 
Is just what they teach us; 
And we're so ignorant 
'Cause every time they can reach us (shoobe, doo-wa) 
 
G E G A7  
Through political strategy (shoo-be, doo-wa); 
They keep us hungry (shoobe, doo-wa), 
And when you gonna get some food (shoobe, doo-wa), 
Your brother got to be your enemy, we-e-ell! 
 
(Bm Bm G A) 
Ambush in the night, 
All guns aiming at me; 
Ambush in the night, 
They opened fire on me now. 
Ambush in the night, 
Protected by His Majesty. 
 
(D Bm G A) 
Ooh-wee, ooh-wee. Ooh-wa-ooh! 
(Ooh-wee) Ooh-wee, ooh-wee (ooh-wa), Ooh-wa! 
Ooh-wee, ooh-wee, ooh wa-ooh! 
Ooh-wee, ooh-wee, ooh wa-ah! 
 
Em A Em D 
Well, what we know 
Is not what they tell us; 
We're not ignorant, I mean it, 
And they just cannot touch us; 
 
G Em G A7 
Through the powers of the Most-High (shoobe, doo-wa), 
We keep on surfacin' (shoobe, doo-wa); 
Thru the powers of the Most-I (shoobe, doo-wa), 
We keep on survivin'. 
 
Yeah, this ambush in the night 
Planned by society; 
Ambush in the night; 
They tryin' to conquer me; 
Ambush in the night 
Anyt'ing money can bring; 
Ambush in the night 
Planned by society; 
Ambush in the night",60256,Básico
11,And I Love Her,"{'Bm', 'F#', 'Em', 'Fm', 'C#m', 'C', 'D#m', 'D7', 'A#m', 'G#m', 'Am', 'G'}","[Intro] G  Am
        G  Am
        G  Am

 Am            Em
I give her all my love
 Am         Em
That's all I do
Am             Em
And if you saw my love
  C         D7
You'd love her too
      G
I love her

  Am           Em
She gives me everything
  Am       Em
And tenderly
  Am            Em
The kiss my lover brings
  C         D7
She brings to me
           G
And I love her

  Em         D7
A love like ours
  Em         Bm
Could never die
  Em       Bm
As long as I
         D7
Have you near me

  Am                    Em
Bright are the stars that shine
  Am         Em
Dark is the sky
  Am              Em
I know this love of mine
   C       D7
Will never die
        G
And I love her

A#m                       Fm
Bright are the stars that shine
A#m          Fm
Dark is the sky
A#m                Fm
I know this love of mine
C#m          D#m
Will never die
          G#m     A#m   F#
And I love her",1613,Básico
12,Baby I Love Your Way,"{'E7', 'Bm', 'Em', 'C', 'D7', 'D', 'Am', 'G', 'F7'}","  G                D          Em                C        F7
 shadows grow so long before my eyes, and they're moving, across the page
    G            D            Em   C                   F7
 suddenly the day turns into night, far away, from the city
     Bm         E7                Am          D7
 but don't, hesitate, cause your love, won't wait

G       D                Am   C
   ooh, baby i love your way
G       D                     Am   C
   wanna tell you i love your way
G       D                   Am    C
   wanna be with you night and day

  G                  D                Em            C             F7
 moon appears to shine, and light the sky, with the help, of some firefly
  G               D                  Em
 wonder how they have, the power to shine, shine, shine
         C         F7
 i can see them, under the pine
     Bm         E7                Am          D7
 but don't, hesitate, cause your love, won't wait

G       D                 Am   C
   ooh, baby i love your way
G       D                   Am   C
   wanna tell you i love your way
G       D                   Am    C
   wanna be with you night and day

     Bm         E7                Am          D7
 but don't, hesitate, cause your love, won't wait
 G              D             Em              C         F7
 i can see the sunset in your eyes, brown and grey, and blue besides
 G                  D                 Em                C               F7
 clouds are stalking islands in the sun, i wish i could buy one, out of season
     Bm         E7                Am          D7
 but don't, hesitate, cause your love, won't wait

G       D                 Am   C
   ooh, baby i love your way
G       D                   Am   C
   wanna tell you i love your way
G       D                   Am    C
   wanna be with you night and day",24137,Básico
13,Baby We've Got a Date (Rock It Baby),"{'Am', 'A', 'G#m', 'D'}","Baby We've Got A Date
Tabbed By: Shane Cash

I noticed that no one tabbed this song, and it's one of my favourites.
For the second part, you'll need to listen to the song to get the exact
rhythm. This is just the chorus and verse, I havent tabbed the bridge as
of yet. Rastaman Live UP! Enjoy...

Chords: 
     A   A    D     D        A     A     G#m  Am
e--------------------------I--------------------------------]
B--------------------------I--------------------------------]
G--------------------------I--------------------------------]
D-------------2--4--0--2---I--------------------------------]
A------4-4-----------------I-------4-4---4-2----------------]
E--5-5---------------------I--5-5------------4-5------------]

e--------------------------I--------------------------------]
B--------------------------I--------------------------------]
G--------------------------I--------------------------------]
D--------------------------I--------------------------------]
A--4-4-4-45--2--4----------I-------4-4--4-2-----------------]
E--------------------------I--5-5------------4-5------------]",14921,
14,Baby Weve Got A Date,"{'Am', 'A', 'G#m', 'D'}","      A   A    D     D        A     A     G#m  Am
E|--------------------------|--------------------------------|
B|--------------------------|--------------------------------|
G|--------------------------|--------------------------------|
D|-------------2--4--0--2---|--------------------------------|
A|------4-4-----------------|-------4-4---4-2----------------|
E|--5-5---------------------|--5-5------------4-5------------|

E|--------------------------|--------------------------------|
B|--------------------------|--------------------------------|
G|--------------------------|--------------------------------|
D|--------------------------|--------------------------------|
A|--4-4-4-45--2--4----------|-------4-4--4-2-----------------|
E|--------------------------|--5-5------------4-5------------|",120,Básico
15,Babylon By Bus,"{'Bm', 'F', 'E', 'Em', 'F#m', 'C', 'D7', 'Gm', 'D', 'A', 'Am', 'G'}","
From: Kevin Gardner 


chord transcriptions and arrangement by kevin gardner
                                        *

Notes
This album recorded durring the Wailers 1978 world
tour features the guitar sytlings of three great guitarists,
On one hand this album is filled with difficult bass/guitar
riff sycopation that almost defies transcription.  On the other
hand the general chord progression of many of the songs are quite
simple.  What follows are the chords played by Bob throughout the
songs.  Some songs only have one or two guitar chords, however
due to the sycopated riffs of the lead guitars the songs stay
musicallly interesting.


Positive Vibration
===================
intro     A F#m      4x
chorus    A F#m      4x
verse     F#m Bm F#m
          D Em 4     4x
          F#m
chorus    A F#m      4x
verse (silent for the first part)
          F#m Bm F#m
          D Em 4     4x
          F#m
----------------------------
Punky Reggae Party
=================
Intro  Bm
verse  Bm
chorus (take a joyful sound)
       Em D 4x
verse  Bm
chorus Em D 8x
verse ect...  Bm
chorus Em D 4x
rest of song Bm
----------------------------
Exodus
=======
Am
----------------------------
Stir it Up
==========
A D E
----------------------------
Rat Race
========
inrto (no rythem)

rest of song Bm A
             A  Bm
----------------------------
Concrete Jungle
===============
intro Em
  enter the band Em Am Em 2x
verse Em  Am  Em
      Em  Am  D
      C   Em
      C   Em
      G   D
      Em Am Em Em
chorus Em Am Em 2x
verse Em  Am  Em
      Em  Am  D
      C   Em
      C   Em
      G   D
      Em Am Em Em

chorus Em Am Em 2x
solo Em  Am  Em
      Em  Am  D
      C   Em
      C   Em
      G   D
bridge Em Am Em
chorus Em Am Em repeat untill the end
----------------------------
Kinky Reggae
============

intro  C Gm 4x
verse  C Gm 8x
       Am F Am 2x
chorus Am x
bridge Am F Am
verse  C Gm 8x
       Am F Am 2x
chorus Am
bridge Am F Am 2x
chrous Am
bridge Am F Am 2x
chorus Am
----------------------------
Lively Up Yourself
==================
D7 G D7 D7
----------------------------
Rebel Music
===========
intro no rythem
F#m D7
----------------------------
War
===
Bm A
----------------------------
No More Trouble (3:44)
===============
chorus and verse Bm
break down       Em
                 Em F#m Em
                 Em F#m
chorus and verse Bm
break down       Em
                 Em F#m Em
                 Em F#m
                 Bm
----------------------------
Is This Love
============

hereUs the main riff

|-------------------|------------------------|
|-------------------|--------5---7-5---7-5---|
|--------2----------|--------6---7-6---7-6---|
|----2-4---4----2-4-|---4-7----7-----7-----7-|
|--4----------4-----|-5----------------------|
|-------------------|------------------------|

|-------------------|--------5-5-5--4-5-4--2-|
|-------------------|--------5-5-5--5-5-5--2-|
|--------2----------|--------6-6-6--4-4-4--2-|
|----2-4---4----2-4-|---4-7--7-7-7---------4-|
|--4----------4-----|-5----------------------|
|-------------------|------------------------|


----------------------------
Heathen
=======
//  /  /
Em  C Bm
----------------------------
Jamming
=======
intro  Bm E G F#m 2x
chorus Bm E G F#m 2x
verse  Bm E Bm E G F#m 2x
chorus Bm E G F#m 2x
verse  Bm E Bm E G F#m 2x
chorus Bm E G F#m 2x
bridge Bm Em Bm Em
       Bm    Bm
verse  Bm E Bm E G F#m
chorus Bm E G F#m 8x
bridge Bm Em Bm Em
       Bm    Bm
verse  Bm E Bm E G F#m
chorus Bm E G F#m play untill end of song",19598,
16,Babylon System,"{'F', 'DM7', 'AM7', 'C', 'G7', 'D', 'G'}","    C               AM7
We refuse to be
         C          AM7
What you wanted us to be;
DM7
We are what we are:
DM7         C              G       C            G
That's the way (way) it's going to be. If you don't know!
C           AM7
You can't educate I
        DM7
For no equal opportunity:
                           F
(Talkin' 'bout my freedom) Talkin' 'bout my freedom,
       C                    G  C   G
People freedom (freedom) and liberty!
                 C                         AM7
Yeah, we've been trodding on the winepress much too long:
DM7    G7
Rebel, rebel!
                C                         AM7
Yes, we've been trodding on the winepress much too long:
DM7    G7
Rebel, rebel!
G                      F             C
Babylon system is the vampire, yea! (vampire)
  F                         C        G
Suckin' the children day by day, yeah!
G                                 F               C
Me say: de Babylon system is the vampire, falling empire,
  F                           C      G
Suckin' the blood of the sufferers, yea-ea-ea-ea-e-ah!
G                       F            C
Building church and university, wo-o-ooh, yeah! -
  F                        C         G
Deceiving the people continually, yea-ea!
G                                      F        C
Me say them graduatin' thieves and murderers;
              F                                  C
Look out now: they suckin' the blood of the sufferers (sufferers).
            G
Yea-ea-ea! (sufferers)

G                    G
Tell the children the truth;
C                   AM7
Tell the children the truth;
D                     G
Tell the children the truth right now!
G                    G
Come on and tell the children the truth;
C                    AM7
Tell the children the truth;
G                    G
Tell the children the truth;
C                    AM7
Tell the children the truth;
G           D                    G
Come on and tell the children the truth.

G                          C                        AM7
'Cause - 'cause we've been trodding on ya winepress much too long:
DM7    G7
Rebel, rebel!
               C                 AM7
And we've been taken for granted much too long:
DM7    G7
Rebel, rebel now!

(Trodding on the winepress) Trodding on the winepress (rebel):
got to rebel, y'all (rebel)!
We've been trodding on the winepress much too long - ye-e-ah! (rebel)
Yea-e-ah! (rebel) Yeah! Yeah!

From the very day we left the shores (trodding on the winepress)
Of our Father's land (rebel),
We've been trampled on (rebel),
Oh now! (we've been oppressed, yeah!) Lord, Lord, go to ...

[*Sleeve notes continue:
Now we know everything we got to rebel
Somebody got to pay for the work
We've done, rebel.]",17478,Básico
17,Bad Boys,"{'Abm', 'B'}","Abm
UH !Bad boys what you gonna,what you gonna,what you gonna do?
                         B          Abm
When Sheriff John Brown come for you?
Abm                                                B
Tell me! what you gonna do?   what you gonna do?    Yeahhh

{Chorus}
    Abm                             B
Bad boys,bad boys what you gonna do what you gonna do?
           Abm
When they come for you?
Abm
Bad boys bad boys what you gonna do?
B                           Abm
what you gonna do  when they come for you?

Abm                                               B
When you were eight and you had bad dreams you go to school
               Abm
And that s the golden rule,So why are you acting like a bloody fool
B                       Abm
If you get hot then you must get cool!

{Chorus}
    Abm                              B
Bad boys,bad boys what you gonna do what you gonna do?
          Abm
When they come for you?
Abm
Bad boys bad boys what you gonna do?
B                           Abm
what you gonna do  when they come for you?

Abm
You chuck it down thas one,You chuck it down thit one,
B                                                              Abm
You chuck it down ya mother,And ya chuck it down ya father,
Abm
Ya chuck it down a brother,And ya chuck it down ya siter,
      B                             Abm
You chuck it down that one and you chuck it down Me!

{Chorus}
    Abm                              B
Bad boys,bad boys what you gonna do what you gonna do?
          Abm
When they come for you?
Abm
Bad boys bad boys what you gonna do?
B                            Abm
what you gonna do  when they come for you?
repeat

Abm                     B                                               Abm
Nobody now give you no Break,Police now give you no Break,
Abm                             B
No soldier man will give ya no break,
Abm
Even Your eyes won t give you no break hey hey!

{Chorus}
     Abm                             B
Bad boys,bad boys what you gonna do what you gonna do?
           Abm
When they come for you?
Abm
Bad boys bad boys what you gonna do?
B                            Abm
what you gonna do  when they come for you?

repeat

solo  Abm                   B

Why did you have to act so mean?
Don t you know you re a human being?
Born of a mother with the love of a father,
Reflection comes and reflection goes,
I know sometimes you wanna let go
heyheyhey i know sometimes you wanna let go

Chorus

Your too bad,
your too rude,
your too bad,
your too rude,

Chorus
Bad boys,bad boys what you gonna do what you gonna do?
When they come for you?Bad boys bad boys what you gonna do?
what you gonna do what you gonna do when they come for you?

You chuck it on that one,
you chuck it on this one,
you chuck it on ya mother,
and you chuck it on your brother and you chuck it on your sister
you chuck it on that one and you chuck on me!",95165,Básico
18,Bad Card,"{'F', 'Dm', 'Em', 'C', 'Am', 'G'}","
Intro (F Em Dm G)
 
(G C G Am)
You a go tired fe see me face
Can't get me out of the race
Oh man you said I'm in your place
And then you draw bad card
A make you draw bad card
And then you draw bad card
Propaganda spreading over my name
Say you want to bring another life to shame
Oh man you just playing a game
And then you draw bad card (draw bad card)
A make you draw bad card (draw bad card)
A make you draw bad card
 
(F Em F C)
I want to disturb my neighbor
Cause I'm feeling so right
I want to turn up my disco
Blow them to full Watts tonight
 
(G C G Am)
In a rub-a-dub style, in a rub-a-dub style
In a rub-a-dub style, in a rub-a-dub style
 
(F Em Dm G)
Cause we guarding the palace so majestic
Guarding the palace so realistic
 
(G C G Am)
Them a go tired fe see we face, oh yeah
Me say them can't get we out of the race
Oh man it's just a big disgrace
The way you draw bad card (draw bad card)
The way you make wrong moves (make wrong moves)
The way you draw bad card (draw bad card)
A make you draw bad card (draw bad card)
A make you draw bad card
In a rub-a-dub style, in a rub-a-dub style",58049,Básico
19,Bend Down Low,"{'C', 'F'}","C   F
Bend down low, let me tell you what I know
Bend down low, let me tell you what I know
Fisherman row, to reep what you sow now
Tell you all i know, you've got to let me go now
All you've got to do is
Bend down low, let me tell you what I know
Bend down low, let me tell you what I know
You keep on knockin but you can't come in
I get to understand you been livin in sin
But if you love me woman walk right in
I've got a notch for your safety-pin
Bend down low

Keep on knockin but you can't come in
I get to understand you been livin in sin
But walk right in woman, sit right down
I will keep on loving you,
I will play the clown

Bend down low, let me tell you what I know
Bend down low, let me tell you what I know
",32855,Básico
